department,catalogNumber,description,catoid,groupEntoid,groupNavoid,groupShortTitle,groupLongTitle
ARCH,3328,Technology 4,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3332,Advanced Digital Vocabularies,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3335,Digital Fabrication,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3341,Contemporary Japanese Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3342,Shape of the City,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3343,Latin American Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3347,Evolution of Architectural Interiors,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3354,The Culture of Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3358,History of Asian Arch and Art,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3365,Architectural Research,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3368,Sustainable Development,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3371,"Landscape, Ecology, Urbanism",44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3374,World Cities,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3375,Arch Design for Non-Majors,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3380,Architecture Plus Film,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3391,Introduction to the Preservation of 20th Century Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3392,Research and Documentation of 20th Century Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3393,Thesis Preparation,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3397,Selected Topics,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3398,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3500,Architecture Design Studio V,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,3501,Architecture Design Studio VI,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4111,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4112,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4113,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4114,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4211,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4212,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4213,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4214,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4311,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4312,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4313,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4314,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4321,Design of Construction Details,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4324,High-Rise Structures,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4325,Building Systems Integration,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4327,Technology 5,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4328,Technology 6 Practice of Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4336,Graphic Realization in Design,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4351,Readings & Criticism in Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4354,Ideas and Buildings,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4355,Houston Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4367,Case Studies:Sustainable Arch,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4373,Urban Environments,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4375,"Capitalism, Arch and the City",44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4376,Community Design Workshop,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4390,Landscape Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4391,Techniques for Preservation of 20th Century Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4393,Thesis Publication,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4397,Selected Topics,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4398,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,4510,Integrated Architectural Solutions,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,5500,Architecture Design Studio IX,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,5501,Architecture Design Studio X,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,5502,Architecture Design Studio-Traveling,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,5508,Design Studio: Historic Structures and Sites,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARCH,5593,Thesis Project,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,2501,Interior Architecture Design Studio IV,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3111,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3112,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3113,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3114,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3211,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3212,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3213,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3214,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3300,History of Interior Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3310,Materials & Methods of Interior Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3311,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3312,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3313,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3314,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3360,Human Factors in Interior Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3397,Selected Topics,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3500,Interior Architecture Design Studio V,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,3501,Interior Architecture Design Studio VI,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4111,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4112,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4113,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4114,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4198,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4211,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4212,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4213,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4214,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4311,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4312,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4313,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4314,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4360,Practice of Interior Architecture,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4393,Senior Project Preparation,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4398,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4500,Interior Architecture Design Studio VII,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INAR,4501,Interior Architecture Design Studio VIII,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,1360,Visual Thinking,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,1501,Industrial Design Studio II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2160,Materials and Manufacturing Methods,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2165,Design Research Methods I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2170,Digital Sketch Techniques I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2260,Materials and Fabrication Methods,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2270,Digital Sketch Techniques II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2298,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2340,Visual Communication,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2341,Computer Aided Industrial Design I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2355,Design History I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2356,Design History II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2360,Materials and Methods I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2362,Visual Presentation,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2397,Selected Topics,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2500,Industrial Design Studio III,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,2501,Industrial Design Studio IV,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3111,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3112,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3113,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3114,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3160,Design Issues I,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3198,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3211,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3212,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3213,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3214,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3265,Design Research Methods II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3311,Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3312,Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3313,Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3314,Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3340,Computer Aided Industrial Design II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3341,Design Interaction,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3360,Human Factors,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3365,Design Research Methods,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3370,Advanced Design Systems,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3397,Selected Topics,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3500,Industrial Design Studio V,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,3501,Industrial Design Studio VI,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4111,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4112,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4113,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4114,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4180,Design Internship,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4198,Independent Study,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4211,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4212,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4213,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4214,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4260,Design Issues II,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4311,Advanced Topics in Design History,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4312,Advanced Topics in Design Media,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4313,Advanced Topics in Design Practice,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4314,Advanced Topics in Design Technology,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4360,Design Issues,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4361,E-Portfolio,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4365,Design Practice and Business,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4380,Design Internship,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4500,Industrial Design Studio VII,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
INDS,4501,Industrial Design Studio VIII,44,3307,15950,Architecture and Design,Gerald D. Hines College of Architecture and Design
ARLD,3300,Introduction to Arts Administration,44,3373,15949,The Arts,Kathrine G. McGovern College of the Arts
ARLD,4397,Special Topics in Arts Leadership,44,3373,15949,The Arts,Kathrine G. McGovern College of the Arts
IART,1300,The Arts in Society,44,3373,15949,The Arts,Kathrine G. McGovern College of the Arts
IART,2300,The Arts in Houston,44,3373,15949,The Arts,Kathrine G. McGovern College of the Arts
IART,3300,Introduction to Interdisciplinary Art,44,3373,15949,The Arts,Kathrine G. McGovern College of the Arts
IART,3395,Selected Topics in Interdisciplinary Arts,44,3373,15949,The Arts,Kathrine G. McGovern College of the Arts
IART,4300,Collaboration Among the Arts,44,3373,15949,The Arts,Kathrine G. McGovern College of the Arts
ACCT,2301,Principles of Financial Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,2302,Principles of Managerial Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,3366,Financial Reporting Frameworks,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,3367,Intermediate Accounting I,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,3368,Intermediate Accounting II,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,3371,Accounting Information Systems,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,3377,Cost Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,3378,Management Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4105,Professional Program in Accountancy Colloquium 1,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4106,Professional Program in Accountancy Colloquium 2,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4107,Oil and Gas Accounting Colloquium,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4108,Internal Audit Colloquium,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4198,Independent Study,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4330,Advanced Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4331,Federal Income Tax-Individual,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4332,Corporate Taxation,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4335,Financial Statement Auditing,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4337,Introduction to Data Analytics in Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4375,Internal Audit and Entity Control Environment,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4378,Oil and Gas Accounting I,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4379,Enterprise Risk Management,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4380,Control & Security of Financial Information: Theory and Practice,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4381,Oil and Gas Accounting 2,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4382,Oil and Gas Accounting 3,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4396,Accounting Internship,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4397,Selected Topics in Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,4398,Independent Study,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5198,Independent Study,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5301,Financial and Managerial Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5330,Advanced Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5331,Federal Income Tax - Individual,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5332,Corporate Taxation,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5335,Financial Statement Auditing,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5337,Management Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5367,Intermediate Accounting I,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5368,Intermediate Accounting II,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5371,Accounting Information Systems,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5372,Introduction to Data Analytics in Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5373,Applied Data Analytics in Accounting I,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5374,Applied Data Analytics in Accounting II,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5375,Internal Auditing and the Entity Control Environment,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5376,Advanced Financial Statement Auditing,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5377,Government and Nonprofit Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5378,Control & Security of Financial Information: Theory and Practice,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5379,Enterprise Risk Management,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5380,Oil and Gas Accounting 1,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5381,Oil and Gas Accounting 2,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5382,Oil and Gas Accounting 3,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5397,Selected Topics in Accounting,44,3308,15940,Business,C.T. Bauer College of Business
ACCT,5398,Independent Study,44,3308,15940,Business,C.T. Bauer College of Business
BCIS,1305,Business Computer Applications,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,B011,Bauer CO-OP Experiential Work,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,1301,Business Principles,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,2305,Business Statistics,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,3300,Introduction to Personal Finance,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,3301,Connecting College to Business,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,3302,Connecting Bauer to Business,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4198,Independent Study,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4305,Business Ethics for Accountants,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4320,Commercial Law,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4335,Brainstorming to Bankrolling,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4336,Consulting to Meet Small Business Needs,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4350,Business Law and Ethics,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4396,Business Internship,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4397,Special Topics in General Business,44,3308,15940,Business,C.T. Bauer College of Business
BUSI,4398,Independent Study,44,3308,15940,Business,C.T. Bauer College of Business
BZAN,3310,Introduction to Business Analytics,44,3308,15940,Business,C.T. Bauer College of Business
BZAN,4397,Selected Topics in Business Analytics,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,3310,Entrepreneurship,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,3311,Technology Entrepreneurship,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,3312,Corporate Entrepreneurship,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,3321,Social Entrepreneurship,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,3341,Family Business,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,3342,Women in Entrepreneurship,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4110,Entrepreneurial Values and Leadership,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4320,Entrepreneurial Revenue,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4330,Entrepreneurial Costs and Budgets,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4340,Entrepreneurial Capital,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4350,Entrepreneurial Strategy,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4360,Business Plan and Implementation,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4380,Venture Fund,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4393,RED Labs Pre-accelerator,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4394,RED Labs Accelerator,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4396,Entrepreneurship Internship,44,3308,15940,Business,C.T. Bauer College of Business
ENTR,4397,Sel Topics in Entrepreneurship,44,3308,15940,Business,C.T. Bauer College of Business
